Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-20-2025,29682.877419354838,2023 EV6,26992,-2.69,-6.63,-20.28
07-22-2025,29599.81271477663,2023 EV6,26992,-2.69,-6.63,-20.28
07-24-2025,29513.41610738255,2023 EV6,26992,-2.69,-6.63,-20.28
07-26-2025,29432.22964169381,2023 EV6,26992,-2.69,-6.63,-20.28
07-28-2025,29370.99125874126,2023 EV6,26992,-2.69,-6.63,-20.28
07-30-2025,29356.577464788734,2023 EV6,26992,-2.69,-6.63,-20.28
08-01-2025,29366.398550724636,2023 EV6,26992,-2.69,-6.63,-20.28
08-03-2025,29406.100694444445,2023 EV6,26992,-2.69,-6.63,-20.28
08-05-2025,29447.747340425532,2023 EV6,26992,-2.69,-6.63,-20.28
08-07-2025,29512.488175675677,2023 EV6,26992,-2.69,-6.63,-20.28
08-09-2025,29557.911666666667,2023 EV6,26992,-2.69,-6.63,-20.28
08-11-2025,29587.16052631579,2023 EV6,26992,-2.69,-6.63,-20.28
08-13-2025,29581.161710037173,2023 EV6,26992,-2.69,-6.63,-20.28
08-15-2025,29563.22150735294,2023 EV6,26992,-2.69,-6.63,-20.28
08-17-2025,29538.94375,2023 EV6,26992,-2.69,-6.63,-20.28
08-19-2025,29533.088768115944,2023 EV6,26992,-2.69,-6.63,-20.28
08-21-2025,29527.92033898305,2023 EV6,26992,-2.69,-6.63,-20.28
08-23-2025,29509.35880398671,2023 EV6,26992,-2.69,-6.63,-20.28
08-25-2025,29509.076315789473,2023 EV6,26992,-2.69,-6.63,-20.28
08-27-2025,29534.5,2023 EV6,26992,-2.69,-6.63,-20.28
08-29-2025,29538.11200716846,2023 EV6,26992,-2.69,-6.63,-20.28
08-31-2025,29517.654458598725,2023 EV6,26992,-2.69,-6.63,-20.28
09-02-2025,29457.599056603773,2023 EV6,26992,-2.69,-6.63,-20.28
09-04-2025,29355.428104575163,2023 EV6,26992,-2.69,-6.63,-20.28
09-06-2025,29249.00657894737,2023 EV6,26992,-2.69,-6.63,-20.28
09-08-2025,29136.412541254125,2023 EV6,26992,-2.69,-6.63,-20.28
09-10-2025,29021.467637540452,2023 EV6,26992,-2.69,-6.63,-20.28
09-12-2025,28949.8487654321,2023 EV6,26992,-2.69,-6.63,-20.28
09-14-2025,28908.227692307693,2023 EV6,26992,-2.69,-6.63,-20.28
09-16-2025,28901.6,2023 EV6,26992,-2.69,-6.63,-20.28
09-18-2025,28935.648606811144,2023 EV6,26992,-2.69,-6.63,-20.28
