Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
08-01-2025,65260.6686746988,2022 R1S,60360,-0.24,-5.1,0.0
08-03-2025,65241.12721893491,2022 R1S,60360,-0.24,-5.1,0.0
08-05-2025,65223.99509803922,2022 R1S,60360,-0.24,-5.1,0.0
08-07-2025,65207.48333333333,2022 R1S,60360,-0.24,-5.1,0.0
08-09-2025,65190.06477272727,2022 R1S,60360,-0.24,-5.1,0.0
08-11-2025,65175.99339622642,2022 R1S,60360,-0.24,-5.1,0.0
08-13-2025,65160.65302066773,2022 R1S,60360,-0.24,-5.1,0.0
08-15-2025,65129.56113707165,2022 R1S,60360,-0.24,-5.1,0.0
08-17-2025,65096.1502293578,2022 R1S,60360,-0.24,-5.1,0.0
08-19-2025,65060.23759398496,2022 R1S,60360,-0.24,-5.1,0.0
08-21-2025,65019.41296296296,2022 R1S,60360,-0.24,-5.1,0.0
08-23-2025,64965.144049346876,2022 R1S,60360,-0.24,-5.1,0.0
08-25-2025,64895.21976090014,2022 R1S,60360,-0.24,-5.1,0.0
08-27-2025,64807.80628453039,2022 R1S,60360,-0.24,-5.1,0.0
08-29-2025,64713.37449118046,2022 R1S,60360,-0.24,-5.1,0.0
08-31-2025,64613.7347972973,2022 R1S,60360,-0.24,-5.1,0.0
09-02-2025,64506.625167785234,2022 R1S,60360,-0.24,-5.1,0.0
09-04-2025,64392.394347240916,2022 R1S,60360,-0.24,-5.1,0.0
09-06-2025,64271.84413369714,2022 R1S,60360,-0.24,-5.1,0.0
09-08-2025,64156.56450488145,2022 R1S,60360,-0.24,-5.1,0.0
09-10-2025,64050.02279202279,2022 R1S,60360,-0.24,-5.1,0.0
09-12-2025,63950.747829233,2022 R1S,60360,-0.24,-5.1,0.0
09-14-2025,63864.26822157434,2022 R1S,60360,-0.24,-5.1,0.0
09-16-2025,63784.06195014663,2022 R1S,60360,-0.24,-5.1,0.0
09-18-2025,63711.53795620438,2022 R1S,60360,-0.24,-5.1,0.0
09-20-2025,63640.735507246376,2022 R1S,60360,-0.24,-5.1,0.0
