Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-24-2025,20598.75,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
07-26-2025,20586.55072463768,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
07-28-2025,20585.01353179973,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
07-30-2025,20585.212975098297,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-01-2025,20587.249042145595,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-03-2025,20597.360228716647,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-05-2025,20621.431102362203,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-07-2025,20644.1827176781,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-09-2025,20663.413015463917,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-11-2025,20683.67476383266,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-13-2025,20702.0069735007,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-15-2025,20724.806136680614,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-17-2025,20741.192200557103,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-19-2025,20758.386657101866,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-21-2025,20781.438645980255,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-23-2025,20796.542717086835,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-25-2025,20804.07195301028,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-27-2025,20819.25,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-29-2025,20842.173188405795,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
08-31-2025,20855.660662824208,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-02-2025,20845.125972006223,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-04-2025,20816.6309148265,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-06-2025,20786.191950464396,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-08-2025,20744.69774919614,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-10-2025,20696.5481540931,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-12-2025,20633.87081339713,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-14-2025,20579.802795031057,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-16-2025,20538.159902597403,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-18-2025,20500.10991735537,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-20-2025,20452.981996726678,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-22-2025,20411.725340136054,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-24-2025,20377.620068610635,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-26-2025,20390.984060402683,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-28-2025,20429.8292469352,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
09-30-2025,20468.19326923077,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-02-2025,20502.012396694216,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-04-2025,20541.502044989775,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-06-2025,20580.38217821782,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-08-2025,20616.896917148362,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-10-2025,20632.90072859745,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-12-2025,20624.445692883895,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-14-2025,20610.90380952381,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-16-2025,20599.43530499076,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-18-2025,20591.19357638889,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-20-2025,20578.032743362834,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-22-2025,20549.450520833332,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-24-2025,20488.05,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-26-2025,20413.524590163935,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-28-2025,20345.875626043406,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
10-30-2025,20289.5147299509,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-01-2025,20227.96672077922,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-03-2025,20168.411475409837,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-05-2025,20114.737984496125,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-07-2025,20059.275340393342,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-09-2025,20005.369207772794,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-11-2025,19947.90197568389,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-13-2025,19885.022354694487,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-15-2025,19818.127705627707,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-17-2025,19743.60545722714,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-19-2025,19666.345375722543,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-21-2025,19593.990014265335,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-23-2025,19536.96037463977,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-25-2025,19480.22238586156,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-27-2025,19417.85087719298,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
11-29-2025,19359.836795252224,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-01-2025,19315.442073170732,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-03-2025,19272.56796875,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-05-2025,19221.150769230768,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-07-2025,19162.440950920245,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-09-2025,19109.84123222749,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-11-2025,19062.016587677725,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-13-2025,19018.857954545456,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-15-2025,18984.197654941374,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-17-2025,18951.30033557047,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
12-19-2025,18934.049668874173,2022 Bolt EUV,18930,-3.55,-7.35,-13.71
07-24-2025,21516.811794228357,2023 Bolt EUV,19601,-3.39,-6.61,-11.08
07-26-2025,21475.845671267252,2023 Bolt EUV,19601,-3.39,-6.61,-11.08
07-28-2025,21430.494148244474,2023 Bolt EUV,19601,-3.39,-6.61,-11.08
07-30-2025,21404.250965250965,2023 Bolt EUV,19601,-3.39,-6.61,-11.08
