Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-20-2025,61137.31451612903,2023 R1T,55840,-0.13,-5.44,-14.48
07-22-2025,61044.348178137654,2023 R1T,55840,-0.13,-5.44,-14.48
07-24-2025,60931.14522821577,2023 R1T,55840,-0.13,-5.44,-14.48
07-26-2025,60803.91063829787,2023 R1T,55840,-0.13,-5.44,-14.48
07-28-2025,60694.48245614035,2023 R1T,55840,-0.13,-5.44,-14.48
07-30-2025,60587.31441048035,2023 R1T,55840,-0.13,-5.44,-14.48
08-01-2025,60489.07838983051,2023 R1T,55840,-0.13,-5.44,-14.48
08-03-2025,60392.12909836065,2023 R1T,55840,-0.13,-5.44,-14.48
08-05-2025,60284.902892561986,2023 R1T,55840,-0.13,-5.44,-14.48
08-07-2025,60178.329113924054,2023 R1T,55840,-0.13,-5.44,-14.48
08-09-2025,60067.7609561753,2023 R1T,55840,-0.13,-5.44,-14.48
08-11-2025,59964.752873563215,2023 R1T,55840,-0.13,-5.44,-14.48
08-13-2025,59865.52671755725,2023 R1T,55840,-0.13,-5.44,-14.48
08-15-2025,59763.47297297297,2023 R1T,55840,-0.13,-5.44,-14.48
08-17-2025,59675.187250996016,2023 R1T,55840,-0.13,-5.44,-14.48
08-19-2025,59580.12145748988,2023 R1T,55840,-0.13,-5.44,-14.48
08-21-2025,59513.466,2023 R1T,55840,-0.13,-5.44,-14.48
08-23-2025,59470.346774193546,2023 R1T,55840,-0.13,-5.44,-14.48
08-25-2025,59414.358050847455,2023 R1T,55840,-0.13,-5.44,-14.48
08-27-2025,59368.30630630631,2023 R1T,55840,-0.13,-5.44,-14.48
08-29-2025,59340.597727272725,2023 R1T,55840,-0.13,-5.44,-14.48
08-31-2025,59315.564220183485,2023 R1T,55840,-0.13,-5.44,-14.48
09-02-2025,59305.61643835616,2023 R1T,55840,-0.13,-5.44,-14.48
09-04-2025,59280.72602739726,2023 R1T,55840,-0.13,-5.44,-14.48
09-06-2025,59260.495495495496,2023 R1T,55840,-0.13,-5.44,-14.48
09-08-2025,59242.73245614035,2023 R1T,55840,-0.13,-5.44,-14.48
09-10-2025,59215.416666666664,2023 R1T,55840,-0.13,-5.44,-14.48
09-12-2025,59198.20212765958,2023 R1T,55840,-0.13,-5.44,-14.48
09-14-2025,59172.706666666665,2023 R1T,55840,-0.13,-5.44,-14.48
09-16-2025,59112.60599078341,2023 R1T,55840,-0.13,-5.44,-14.48
09-18-2025,59055.69495412844,2023 R1T,55840,-0.13,-5.44,-14.48
